State,Year,Frequency,
Australian Capital Territory,2010,0.62,
Australian Capital Territory,2011,0.8,
Australian Capital Territory,2012,0.63,
Australian Capital Territory,2013,0.59,
Australian Capital Territory,2014,0.498,
Australian Capital Territory,2015,0.605,
Australian Capital Territory,2016,0.674511521,
Australian Capital Territory,2017,0.7,
Australian Capital Territory,2018,0.5,
Australian Capital Territory,2019,0.634246,
Australian Capital Territory,2020,0.489435,
Australian Capital Territory,2021,0.523304,
New South Wales,2010,1.343,
New South Wales,2011,1.265333333,
New South Wales,2012,1.339033333,
New South Wales,2013,1.265166667,
New South Wales,2014,1.177,
New South Wales,2015,1.248485657,
New South Wales,2016,1.114723887,
New South Wales,2017,1.141902637,
New South Wales,2018,1.080235829,
New South Wales,2019,1.119340357,
New South Wales,2020,1.078410615,
New South Wales,2021,0.961246603,
Northern Territory,2010,2.56212232,
Northern Territory,2011,3.645393295,
Northern Territory,2012,3.455779126,
Northern Territory,2013,3.455926083,
Northern Territory,2014,1.739721461,
Northern Territory,2015,1.852418108,
Northern Territory,2016,2.625700232,
Northern Territory,2017,2.745968353,
Northern Territory,2018,2.39,
Northern Territory,2019,2.396,
Northern Territory,2020,2.356,
Northern Territory,2021,2.233,
Queensland,2010,2.327863972,
Queensland,2011,1.96565921,
Queensland,2012,1.778742567,
Queensland,2013,1.652191453,
Queensland,2014,1.60495,
Queensland,2015,1.7166,
Queensland,2016,1.6794,
Queensland,2017,1.44555,
Queensland,2018,1.46147,
Queensland,2019,1.534885,
Queensland,2020,1.5945,
Queensland,2021,1.48035,
South Australia,2010,1.649,
South Australia,2011,1.546,
South Australia,2012,1.308,
South Australia,2013,1.326,
South Australia,2014,1.446,
South Australia,2015,1.123,
South Australia,2016,1.201,
South Australia,2017,1.244,
South Australia,2018,1.142,
South Australia,2019,1.131,
South Australia,2020,0.9,
South Australia,2021,0.96,
Tasmania,2010,1.84,
Tasmania,2011,1.45,
Tasmania,2012,1.73,
Tasmania,2013,1.46,
Tasmania,2014,1.818439893,
Tasmania,2015,1.298,
Tasmania,2016,1.559,
Tasmania,2017,1.449,
Tasmania,2018,1.65887837,
Tasmania,2019,1.558499452,
Tasmania,2020,1.475131649,
Tasmania,2021,1.537655611,
Victoria,2010,1.206380344,
Victoria,2011,1.111545745,
Victoria,2012,1.10236332,
Victoria,2013,1.170458303,
Victoria,2014,1.155394819,
Victoria,2015,1.035519661,
Victoria,2016,1.014241227,
Victoria,2017,0.875782102,
Victoria,2018,0.961418985,
Victoria,2019,0.969924815,
Victoria,2020,0.952300075,
Victoria,2021,0.797824145,
Western Australia,2010,0,
Western Australia,2011,0,
Western Australia,2012,0,
Western Australia,2013,0,
Western Australia,2014,0,
Western Australia,2015,0,
Western Australia,2016,0,
Western Australia,2017,0,
Western Australia,2018,0,
Western Australia,2019,0,
Western Australia,2020,0,
Western Australia,2021,0,
